coregistration/source_target/func_on_anat,signal_modeling/nuisance_regressors,motion_correction_realignment/register_to/mean,coregistration/cost_function/normalised_mutual_information,motion_correction_realignment/register_to/first,signal_modelling/temporal_noise_autocorrelation/FAST,spatial_normalization/template/MNI152_linear,spatial_normalization/interpolation/trilinear,spatial_normalization/template/MNI305,spatial_normalization/algorithm/linear,spatial_normalization/bias_regularisation/light,signal_modeling/nuisance_regressors/motion,coregistration/cost_function/normalised_cross_correlation,spatial_normalization/algorithm/DARTEL,spatial_normalization/bias_regularisation/medium,spatial_normalization/bias_regularisation/very_light,spatial_normalization/bias_fwhm,spatial_smoothing/fwhm,coregistration/cost_function/mutual_information,signal_modelling/temporal_noise_autocorrelation/AR1,slice_timing_correction/ref_slice/middle,slice_timing_correction/ref_slice,signal_modeling/hrf/temporal_derivs,coregistration/cost_function/entropy_correlation_coefficient,spatial_normalization/bias_regularisation/extremely_light,signal_modeling/hrf/canonical,spatial_normalization/interpolation/nearest_neighbour,spatial_normalization/bias_regularisation,signal_modeling/nuisance_regressors/comp_cor,signal_modeling/hrf/temporal_dispersion_derivs,slice_timing_correction/tool,spatial_normalization/interpolation/bspline,spatial_normalization/bias_regularisation/heavy,slice_timing_correction,slice_timing_correction/tool/spm,slice_timing_correction/ref_slice/first,spatial_normalization/template/MNI152_nonlinear,id,from_ref,target
False,True,True,False,False,False,False,False,False,False,0,18,False,False,0,0,0,6,True,True,True,True,False,False,0,False,False,False,False,True,True,True,0,True,True,False,False,831f574c5dc3ddabe65afc3e7315dbc4d98a73254e4cdce4c05a6545f48f5486,0.9589262350124182,0
False,True,False,False,True,True,False,False,False,False,0,24,False,False,0,0,0,6,True,False,False,True,False,False,0,False,False,False,False,True,True,True,0,True,True,True,False,82b485e33d555b88c696327af0b870f7c4f0ddfa1ab27fd08386cb7130f36c82,0.9461241948822072,0
False,True,False,True,True,False,False,False,False,False,0,18,False,False,0,0,0,6,False,True,False,True,False,False,0,False,False,False,False,True,True,True,0,True,True,True,False,824be9a1c7dc07065a2d3886659f042567517fe25a03cd2e944ecab2030e0eab,0.9419012088066764,0
False,True,False,False,True,True,False,False,False,False,0,24,False,False,0,0,0,6,False,False,False,True,False,True,0,False,True,False,False,True,True,False,0,True,True,True,False,80ac5525dea6b2ed1e44bd2fb4d251b64d18f7658270c735b87e96cf1b3df30c,0.9323307825688656,0
False,True,True,True,False,True,False,False,False,False,0,18,False,False,0,0,0,6,False,False,False,True,False,False,0,False,True,False,False,True,True,False,0,True,True,True,False,7ecf24af36852b4efb831723f5254186a69a212d1e73bb50c139c7523fb63087,0.9293516896287796,0
False,True,True,False,False,True,False,False,False,False,0,24,False,False,0,0,0,6,True,False,False,True,True,False,0,False,False,False,False,False,True,True,0,True,True,True,False,7d63c0690a7bb744f20a686999256d4a716c1bbfded6d14e8fdb0a1edee4bf69,0.971969283153746,0
False,True,True,False,False,True,False,False,False,False,0,24,False,False,0,0,0,6,False,False,True,True,False,True,0,False,True,False,False,True,True,False,0,True,True,False,False,7d3270a664f7d52829fa970856e68ab17001469f268678c719b07a99d8dd7ceb,0.9551671946995096,0
False,True,False,False,True,False,False,True,False,False,0,24,False,False,0,0,0,6,True,True,False,False,False,False,0,False,False,False,False,True,False,False,0,False,False,False,False,7b0c23dc28a8c017f164527a4fe8f5c9774f53962d73f2a30ca5cf6e5effa91c,0.9644205384871348,0
False,True,False,True,True,True,False,False,False,False,0,24,False,False,0,0,0,6,False,False,False,False,False,False,0,False,False,False,False,True,False,True,0,False,False,False,False,79935ffa52329fff65528f8888a4a3c3de3fdab22fa7cdbfefc5f5c274d5a2f0,0.9675330034490692,0
False,True,False,False,True,True,False,True,False,False,0,24,False,False,0,0,0,6,True,False,False,True,True,False,0,False,False,False,False,False,True,False,0,True,True,True,False,78b41f0a90214705b90a7e938db1a6538b61a02d434e71163f5e2b8514f1dc17,0.9688241479786766,0
