coregistration/source_target/func_on_anat,signal_modeling/nuisance_regressors,motion_correction_realignment/register_to/mean,coregistration/cost_function/normalised_mutual_information,motion_correction_realignment/register_to/first,signal_modelling/temporal_noise_autocorrelation/FAST,spatial_normalization/template/MNI152_linear,spatial_normalization/interpolation/trilinear,spatial_normalization/template/MNI305,spatial_normalization/algorithm/linear,spatial_normalization/bias_regularisation/light,signal_modeling/nuisance_regressors/motion,coregistration/cost_function/normalised_cross_correlation,spatial_normalization/algorithm/DARTEL,spatial_normalization/bias_regularisation/medium,spatial_normalization/bias_regularisation/very_light,spatial_normalization/bias_fwhm,spatial_smoothing/fwhm,coregistration/cost_function/mutual_information,signal_modelling/temporal_noise_autocorrelation/AR1,slice_timing_correction/ref_slice/middle,slice_timing_correction/ref_slice,signal_modeling/hrf/temporal_derivs,coregistration/cost_function/entropy_correlation_coefficient,spatial_normalization/bias_regularisation/extremely_light,signal_modeling/hrf/canonical,spatial_normalization/interpolation/nearest_neighbour,spatial_normalization/bias_regularisation,signal_modeling/nuisance_regressors/comp_cor,signal_modeling/hrf/temporal_dispersion_derivs,slice_timing_correction/tool,spatial_normalization/interpolation/bspline,spatial_normalization/bias_regularisation/heavy,slice_timing_correction,slice_timing_correction/tool/spm,slice_timing_correction/ref_slice/first,spatial_normalization/template/MNI152_nonlinear,id,from_ref
False,True,True,False,False,False,False,False,False,False,0,18,False,False,0,0,0,6,True,True,False,False,True,False,0,False,False,False,False,False,False,True,0,False,False,False,False,e4cb38d0ff32b516ae25cad525fbae1fde63d6a8e21f9911c69b4c9b8f2abd18,0.9805856936590772
False,True,True,True,False,True,False,False,False,False,0,18,False,False,0,0,0,6,False,False,False,False,False,False,0,False,False,False,False,True,False,True,0,False,False,False,False,e470b642adc131a09aa0dc4d8a19f8bc290c643a0da6b03f84e700f8dfd9a6ef,0.9606690956126764
False,True,False,False,True,False,False,False,False,False,0,6,False,False,0,0,0,6,True,True,False,True,True,False,0,False,True,False,False,False,True,False,0,True,True,True,False,e3051e1d8003f4adb0d88a09a70826a0b01f4e4d165711f59a88559a177fd31c,0.8973130802286381
False,True,True,False,False,False,False,False,False,False,0,18,False,False,0,0,0,6,False,True,True,True,False,True,0,False,True,False,False,True,True,False,0,True,True,False,False,e1e80ac8cc3d4b8ea0d38f4b419100c5dd6558b56ac428ecb0a665b1fb2680a9,0.9457523834799602
False,True,True,False,False,False,False,False,False,False,0,18,False,False,0,0,0,6,False,True,True,True,False,True,0,False,False,False,False,True,True,True,0,True,True,False,False,de3fbe33db67b4af62ce5ba415b880800bb9cdcbf5ffa7f2e5dc42d7edad1eeb,0.9605798350688044
False,True,False,True,True,True,False,True,False,False,0,6,False,False,0,0,0,6,False,False,True,True,True,False,0,False,False,False,False,False,True,False,0,True,True,False,False,dddd2b2efb94ff0486a34c4e2835cffcdba85bac40bb13a7e8a65a5d37e65771,0.8789489090209288
False,True,True,False,False,False,False,True,False,False,0,24,False,False,0,0,0,6,False,True,True,True,True,True,0,False,False,False,False,False,True,False,0,True,True,False,False,dcc54deb5fce9155f9afef351c82905d8131614edd3e0edc630c190f0425af4c,0.9949257102595092
False,True,True,False,False,True,False,False,False,False,0,24,False,False,0,0,0,6,True,False,False,False,True,False,0,False,True,False,False,False,False,False,0,False,False,False,False,dc501fcb8ce581127639e3a23b2080d9a1e6c850fa735897d11442095f1679c8,0.9776663566996115
False,True,True,True,False,False,False,True,False,False,0,18,False,False,0,0,0,6,False,True,True,True,True,False,0,False,False,False,False,False,True,False,0,True,True,False,False,db9203de1608d145eeb0bf7ff409fc85da238a00f51116595ae3ca9d743ade66,0.9812978271609692
False,True,True,False,False,True,False,False,False,False,0,6,False,False,0,0,0,6,False,False,False,False,False,True,0,True,False,False,False,False,False,True,0,False,False,False,False,db4bb87db4f5618f9bce7b8fb6f7b3c21402aab1aa0394329a37600edaa7fc9d,0.910739118052222
